slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.050099485,0.030941887,1,0,False
1,0.037746787,0.031077635,13,4,False
2,0.039221447,0.031012958,8,8,False
3,0.03650469,0.03099351,31,12,False
4,0.032201175,0.03095955,15,16,False
5,0.038712855,0.030959703,16,20,False
6,0.037514325,0.031077076,14,24,False
7,0.03993265,0.031123,3,28,False
8,0.038185287,0.031040894,32,32,False
9,0.032382023,0.031104926,6,36,False
10,0.033436075,0.03103751,9,40,False
11,0.03740214,0.031083032,2,44,False
12,0.040847827,0.031029683,7,48,False
13,0.039268155,0.031070948,12,52,False
14,0.039685693,0.0311006,4,56,False
15,0.039502442,0.031102227,30,60,False
16,0.030532049,0.031137213,11,64,False
17,0.020637032,0.031259593,10,68,False
18,0.016822923,0.03139944,5,72,False
19,0.01562564,0.031517733,17,76,False
20,0.0155708175,0.031507846,29,80,False
21,0.015622795,0.03154707,28,84,False
22,0.016337719,0.03173497,26,88,False
23,0.017136706,0.03174685,27,92,False
24,0.021626662,0.031564802,25,96,True
25,0.024700083,0.03148833,18,100,True
26,0.024580251,0.03147812,24,104,True
27,0.02580755,0.03165457,19,108,True
28,0.029125994,0.031490065,23,112,True
29,0.034530316,0.031363394,20,116,True
30,0.03976089,0.031252317,22,120,True
31,0.038939558,0.031142607,21,124,True
