slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031017836,0.027626714,15,0,False
1,0.03089741,0.02854714,4,4,False
2,0.032259487,0.028698944,6,8,False
3,0.03250724,0.02901236,14,12,False
4,0.03187684,0.02929071,13,16,False
5,0.03250557,0.02949305,3,20,False
6,0.031727925,0.029541917,12,24,False
7,0.031664353,0.030102411,5,28,False
8,0.031627327,0.030988662,27,32,False
9,0.030327627,0.032412454,17,36,False
10,0.031486794,0.032386534,7,40,False
11,0.03208552,0.03154991,28,44,False
12,0.032295365,0.03139455,8,48,False
13,0.03239472,0.032023538,9,52,False
14,0.03263475,0.031954702,16,56,False
15,0.031516876,0.032830656,11,60,False
16,0.031837445,0.03334017,26,64,True
17,0.031123394,0.03403134,31,68,True
18,0.030488692,0.03440606,32,72,True
19,0.03043597,0.03427675,30,76,True
20,0.03033219,0.03429886,18,80,True
21,0.028826019,0.034148954,1,84,True
22,0.02976182,0.03389092,2,88,True
23,0.028835945,0.033615816,29,92,True
24,0.030002842,0.032864295,19,96,True
25,0.031373702,0.032152824,20,100,True
26,0.031876218,0.03154461,21,104,True
27,0.03168955,0.030405633,10,108,True
28,0.0308084,0.029573632,25,112,True
29,0.031230973,0.028689656,23,116,True
30,0.03127561,0.027453095,24,120,True
31,0.03127561,0.027453095,22,124,True
