slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.005296485,0.03275307,32,0,False
1,0.0076716985,0.03222802,31,4,False
2,0.0123808505,0.0318882,10,8,False
3,0.017525213,0.03157486,9,12,False
4,0.024487576,0.031389322,8,16,False
5,0.032965913,0.03107638,11,20,False
6,0.037321918,0.030882843,30,24,False
7,0.040929697,0.030878859,14,28,False
8,0.042952154,0.030823788,12,32,False
9,0.04306943,0.03085914,7,36,False
10,0.040594574,0.030872487,13,40,False
11,0.038804233,0.030923733,15,44,False
12,0.03726152,0.03096323,29,48,False
13,0.039150093,0.03095371,16,52,False
14,0.03686211,0.03104899,17,56,False
15,0.03503583,0.031124903,28,60,False
16,0.034393974,0.031236086,6,64,True
17,0.030950658,0.031258516,18,68,True
18,0.027728412,0.03129356,27,72,True
19,0.026059562,0.031290233,26,76,True
20,0.025650848,0.031328496,19,80,True
21,0.026277415,0.031305987,23,84,True
22,0.026431875,0.03133912,22,88,True
23,0.02549975,0.031425565,20,92,True
24,0.02585459,0.031459905,25,96,True
25,0.029522376,0.0314012,21,100,True
26,0.030614916,0.031288818,24,104,True
27,0.03317722,0.031140625,5,108,True
28,0.035962574,0.031083314,4,112,True
29,0.040441718,0.031037714,3,116,True
30,0.04395181,0.030967504,2,120,True
31,0.045173075,0.030901829,1,124,True
