slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031536162,0.027873471,4,0,False
1,0.03159837,0.028404558,8,4,False
2,0.03199897,0.029023027,13,8,False
3,0.03347792,0.029363437,5,12,False
4,0.033117943,0.029374484,7,16,False
5,0.032973424,0.029303914,6,20,False
6,0.03299626,0.029348241,12,24,False
7,0.03329176,0.02995238,11,28,False
8,0.031918995,0.030514572,29,32,False
9,0.031101149,0.031227099,3,36,False
10,0.03231244,0.0312945,9,40,False
11,0.032954127,0.031475727,28,44,False
12,0.033262476,0.032149345,30,48,False
13,0.030510716,0.033513345,2,52,False
14,0.029169515,0.033945583,32,56,False
15,0.028835924,0.033790782,31,60,False
16,0.030318437,0.033838257,1,64,False
17,0.030481141,0.034181923,27,68,False
18,0.030444222,0.03520945,10,72,False
19,0.028235316,0.03486064,24,76,False
20,0.029325869,0.034487087,14,80,False
21,0.029416773,0.033075072,26,84,False
22,0.029756315,0.032941528,18,88,False
23,0.030943891,0.032594513,19,92,False
24,0.029626781,0.0321539,17,96,True
25,0.03048734,0.031545784,23,100,True
26,0.03121563,0.031288188,25,104,True
27,0.03172048,0.03044279,22,108,True
28,0.03226231,0.028950093,21,112,True
29,0.031636972,0.028129412,15,116,True
30,0.031536162,0.027873471,16,120,True
31,0.031536162,0.027873471,20,124,True
