slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031647004,0.029055819,11,0,False
1,0.031478275,0.028909113,12,4,False
2,0.030514503,0.028814066,10,8,False
3,0.030735021,0.028998531,8,12,False
4,0.031542804,0.029380675,14,16,False
5,0.029773178,0.030600952,13,20,False
6,0.031627566,0.031180937,9,24,False
7,0.032936044,0.030786559,17,28,True
8,0.03240207,0.031230373,16,32,True
9,0.034307912,0.03211283,1,36,True
10,0.035494488,0.03277763,7,40,True
11,0.034827746,0.033360355,25,44,True
12,0.032476917,0.03313538,19,48,True
13,0.032487746,0.032824043,5,52,True
14,0.030998519,0.032641433,2,56,True
15,0.03166563,0.032661352,20,60,True
16,0.031905163,0.033027966,32,64,True
17,0.027842553,0.03402484,31,68,True
18,0.03156862,0.03423902,15,72,True
19,0.031297028,0.03321886,22,76,True
20,0.029788654,0.03234305,24,80,True
21,0.030832808,0.032101315,4,84,True
22,0.03040497,0.032295432,3,88,True
23,0.030789148,0.03191358,26,92,True
24,0.031580355,0.03177072,23,96,True
25,0.03045248,0.031699833,30,100,True
26,0.028713869,0.03135308,21,104,True
27,0.02925861,0.031333197,6,108,True
28,0.0284974,0.029933244,28,112,True
29,0.029885849,0.02832685,27,116,False
30,0.031133547,0.026974468,29,120,False
31,0.031133547,0.026974468,18,124,False
