slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031263817,0.028214974,11,0,False
1,0.030316442,0.02905125,13,4,False
2,0.031717006,0.030045364,14,8,False
3,0.03274922,0.03028759,4,12,False
4,0.03250075,0.030079264,5,16,False
5,0.03174573,0.03009724,28,20,False
6,0.031159278,0.029906547,10,24,False
7,0.030990157,0.030810809,12,28,False
8,0.031319294,0.031272832,6,32,False
9,0.03245563,0.03146662,3,36,False
10,0.03386183,0.031872608,21,40,False
11,0.03177911,0.031661686,19,44,True
12,0.032951277,0.032104418,9,48,True
13,0.03286517,0.033098716,25,52,True
14,0.029715989,0.034888,1,56,True
15,0.02783063,0.035228413,24,60,True
16,0.030782714,0.034726765,7,64,True
17,0.029544063,0.035159543,29,68,True
18,0.031365756,0.034897886,22,72,True
19,0.03072692,0.034142718,8,76,True
20,0.03152686,0.033083532,32,80,True
21,0.030993454,0.031872705,31,84,True
22,0.03016274,0.031156953,17,88,True
23,0.031178948,0.030674525,30,92,True
24,0.03130156,0.030515071,20,96,True
25,0.030500641,0.030676063,27,100,True
26,0.030522505,0.030019237,26,104,False
27,0.03247482,0.030084921,2,108,False
28,0.031142516,0.029186575,23,112,False
29,0.030739106,0.028265817,15,116,False
30,0.030908022,0.027725656,18,120,False
31,0.030908022,0.027725656,16,124,False
