slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031157203,0.028237874,12,0,False
1,0.031517796,0.028676722,14,4,False
2,0.03143689,0.028786613,11,8,False
3,0.029432217,0.029926281,15,12,False
4,0.029107334,0.029606545,13,16,False
5,0.030944,0.029653324,23,20,False
6,0.03019243,0.029885665,22,24,False
7,0.03038,0.030650878,10,28,False
8,0.031769935,0.03155909,9,32,False
9,0.032245718,0.030969558,24,36,True
10,0.03388698,0.03167669,2,40,True
11,0.03812701,0.034499064,3,44,True
12,0.03348845,0.033816915,1,48,True
13,0.03412359,0.03424103,30,52,True
14,0.033545744,0.035056148,6,56,True
15,0.029664474,0.0337923,29,60,True
16,0.028762937,0.034327995,20,64,True
17,0.028970322,0.03414851,31,68,True
18,0.03011969,0.03427758,32,72,True
19,0.030769484,0.034364935,25,76,True
20,0.029696733,0.033203647,28,80,True
21,0.032281604,0.03205806,8,84,True
22,0.032937378,0.03155353,7,88,True
23,0.031754352,0.031345684,19,92,True
24,0.03050518,0.031310722,27,96,True
25,0.029605856,0.03146195,21,100,True
26,0.02977124,0.031032477,16,104,True
27,0.030494858,0.030177115,26,108,True
28,0.030849729,0.028568514,4,112,True
29,0.030958887,0.027517965,5,116,False
30,0.030750988,0.026808329,18,120,False
31,0.030750988,0.026808329,17,124,False
