slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.029773096,0.031189961,31,0,False
1,0.026001167,0.031168716,30,4,False
2,0.023582632,0.031238219,32,8,False
3,0.025040893,0.031320415,29,12,False
4,0.027822372,0.031167243,28,16,False
5,0.029091006,0.03125006,27,20,False
6,0.026620453,0.03130859,26,24,False
7,0.023232743,0.031340837,25,28,False
8,0.021378025,0.031251214,15,32,False
9,0.021080347,0.031235067,1,36,False
10,0.025409414,0.03124355,14,40,False
11,0.026564538,0.031247607,6,44,False
12,0.024952546,0.031294525,5,48,False
13,0.0291499,0.031355374,16,52,False
14,0.029900825,0.031434648,7,56,False
15,0.02735245,0.031629555,12,60,False
16,0.02571962,0.031600233,2,64,False
17,0.023662837,0.031676427,17,68,False
18,0.021015177,0.031587612,11,72,False
19,0.020713022,0.031528447,4,76,False
20,0.021465987,0.03150068,13,80,False
21,0.02029483,0.031510826,18,84,False
22,0.023118686,0.031561688,3,88,True
23,0.023560507,0.031502508,24,92,True
24,0.03158533,0.031343676,8,96,True
25,0.040743124,0.031114079,23,100,True
26,0.046269767,0.030864403,21,104,True
27,0.0480027,0.03087197,9,108,True
28,0.04917055,0.030808382,10,112,True
29,0.062412187,0.030631864,19,116,True
30,0.06368246,0.030603576,20,120,True
31,0.061630867,0.030618068,22,124,True
