slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.027394792,0.028567664,18,0,False
1,0.027908327,0.028393783,17,4,False
2,0.029205639,0.028302487,19,8,False
3,0.028389491,0.028415961,20,12,False
4,0.02843907,0.028702576,16,16,False
5,0.02902934,0.03007956,21,20,False
6,0.028618092,0.030323336,15,24,False
7,0.030009571,0.03078259,10,28,True
8,0.02920178,0.030359644,14,32,True
9,0.031360272,0.030015206,8,36,True
10,0.02905285,0.030752128,22,40,False
11,0.028999085,0.031336047,3,44,False
12,0.028093519,0.03135917,9,48,False
13,0.030570855,0.032889165,24,52,True
14,0.037713226,0.034319703,11,56,True
15,0.038325813,0.03552321,6,60,True
16,0.044938035,0.0378494,12,64,True
17,0.045051485,0.0378883,7,68,True
18,0.04355036,0.03765126,5,72,True
19,0.03997925,0.03678826,4,76,True
20,0.03798481,0.03423306,23,80,True
21,0.029456912,0.03203098,13,84,True
22,0.028132154,0.031773392,25,88,True
23,0.029064633,0.031361427,2,92,True
24,0.028000329,0.03078804,30,96,True
25,0.027646003,0.030399451,26,100,True
26,0.027012486,0.030227294,32,104,True
27,0.026503546,0.029802522,31,108,True
28,0.027303224,0.028666697,1,112,True
29,0.02788766,0.027501447,29,116,False
30,0.02758867,0.026458094,27,120,False
31,0.02758867,0.026458094,28,124,False
