slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.1716222,0.030353108,1,0,False
1,0.16670029,0.030326148,2,4,False
2,0.13425937,0.030336147,3,8,False
3,0.0639375,0.030551683,4,12,False
4,0.052026268,0.030632436,5,16,False
5,0.038793463,0.030696416,6,20,False
6,0.032843724,0.030785378,7,24,False
7,0.031133855,0.030736273,8,28,True
8,0.02412953,0.030729523,9,32,True
9,0.019858548,0.030798148,14,36,True
10,0.01913051,0.030948855,12,40,False
11,0.021124722,0.031028433,13,44,False
12,0.020706555,0.03099681,10,48,False
13,0.021710603,0.031137066,11,52,True
14,0.016417127,0.03135674,32,56,True
15,0.011416859,0.03154784,15,60,True
16,0.008923385,0.0317102,31,64,True
17,0.0069215083,0.031750426,16,68,True
18,0.007504,0.031737298,27,72,True
19,0.009147354,0.03163958,28,76,True
20,0.0084645925,0.031698756,29,80,True
21,0.0071180314,0.031840626,26,84,True
22,0.006518506,0.031938028,30,88,True
23,0.0064011533,0.032013584,20,92,True
24,0.009069935,0.03181323,25,96,True
25,0.010545573,0.031703662,17,100,True
26,0.011358783,0.03167549,21,104,True
27,0.0112838475,0.031704277,19,108,True
28,0.01097691,0.03166064,22,112,True
29,0.0100136995,0.03158176,18,116,False
30,0.012423376,0.031360034,23,120,False
31,0.017518213,0.031211378,24,124,False
