slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.023557063,0.031377304,10,0,False
1,0.01838715,0.03146284,14,4,False
2,0.021576356,0.03135497,15,8,False
3,0.02024972,0.031381324,9,12,False
4,0.023003114,0.03140732,16,16,False
5,0.031412084,0.031207459,13,20,False
6,0.034547552,0.03095551,11,24,False
7,0.042689417,0.030933818,8,28,True
8,0.048846222,0.030893613,12,32,True
9,0.0536422,0.030783217,17,36,True
10,0.0434146,0.030780394,18,40,True
11,0.041736547,0.030883413,7,44,True
12,0.04524645,0.03084193,32,48,True
13,0.050068866,0.030950267,6,52,True
14,0.048865072,0.030887613,19,56,True
15,0.04569262,0.030895391,20,60,True
16,0.038826812,0.030992199,21,64,True
17,0.03585983,0.030971693,24,68,True
18,0.030384967,0.031005329,31,72,True
19,0.028104763,0.031069335,1,76,True
20,0.026345221,0.031182233,22,80,True
21,0.023417495,0.0312654,23,84,True
22,0.02318425,0.031376675,5,88,True
23,0.025188668,0.031469394,25,92,True
24,0.022940952,0.031470317,26,96,True
25,0.021789402,0.031597443,3,100,True
26,0.018385176,0.031691268,30,104,True
27,0.017647766,0.031961553,4,108,True
28,0.018049257,0.031956602,2,112,True
29,0.020769347,0.031857856,27,116,False
30,0.024454834,0.031638972,29,120,False
31,0.03171623,0.03149733,28,124,False
