slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.058762714,0.030852515,1,0,False
1,0.055020295,0.03083398,2,4,False
2,0.054528255,0.030801646,3,8,False
3,0.052892752,0.030813444,4,12,False
4,0.050107375,0.030909318,5,16,False
5,0.04159946,0.03094112,6,20,False
6,0.032516018,0.031020649,32,24,False
7,0.03264284,0.031021979,31,28,False
8,0.036252763,0.031109188,30,32,False
9,0.028355697,0.031260006,9,36,False
10,0.021597354,0.031357758,29,40,False
11,0.019392258,0.03154508,8,44,False
12,0.018751554,0.03153753,7,48,False
13,0.02103485,0.031484187,28,52,False
14,0.02095515,0.03156767,27,56,False
15,0.019682355,0.031578396,10,60,False
16,0.019251995,0.031609908,26,64,True
17,0.019839091,0.03150282,25,68,True
18,0.020958018,0.031438295,24,72,True
19,0.022382166,0.031388305,20,76,True
20,0.022338413,0.031402294,21,80,True
21,0.021996384,0.031380653,23,84,True
22,0.022337805,0.03139621,22,88,True
23,0.023367245,0.031366996,11,92,True
24,0.025071833,0.031368956,14,96,True
25,0.02693683,0.03134946,19,100,True
26,0.029158486,0.031295974,15,104,True
27,0.03057998,0.03128891,18,108,True
28,0.03446051,0.031265724,16,112,True
29,0.03663433,0.031186353,12,116,True
30,0.03948807,0.031063527,17,120,True
31,0.041107167,0.031061156,13,124,True
