slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.030790066,0.027432596,11,0,False
1,0.030933235,0.027845047,10,4,False
2,0.030446405,0.028993126,23,8,False
3,0.03196271,0.029162679,14,12,False
4,0.031359974,0.028781004,12,16,False
5,0.030728804,0.029098762,13,20,False
6,0.030991387,0.029879754,19,24,False
7,0.030482467,0.030713685,4,28,False
8,0.03142836,0.031881545,30,32,False
9,0.03298045,0.031868562,26,36,False
10,0.03320416,0.03139627,24,40,False
11,0.032215916,0.032480735,9,44,False
12,0.03205498,0.032613646,5,48,False
13,0.03241918,0.032699272,28,52,False
14,0.030101197,0.032948267,21,56,False
15,0.030235793,0.0330123,29,60,False
16,0.029946422,0.03366982,7,64,False
17,0.03051831,0.034500033,2,68,True
18,0.0320322,0.03500046,25,72,True
19,0.030417694,0.036008164,1,76,True
20,0.031145625,0.034504917,31,80,True
21,0.030659312,0.03294851,32,84,True
22,0.032680284,0.032390352,6,88,True
23,0.031517178,0.032145213,22,92,True
24,0.03084373,0.032138932,27,96,True
25,0.031652555,0.031656053,18,100,True
26,0.030619577,0.03076768,8,104,True
27,0.031160787,0.03031284,3,108,True
28,0.031072007,0.029724956,20,112,True
29,0.03181914,0.028559603,16,116,True
30,0.030790066,0.027432596,15,120,False
31,0.030790066,0.027432596,17,124,False
