slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.020975905,0.025808921,14,0,False
1,0.021810997,0.02646852,15,4,False
2,0.022909995,0.02698197,13,8,False
3,0.02309397,0.027116543,16,12,False
4,0.022277571,0.027276661,12,16,False
5,0.023006957,0.02774982,17,20,False
6,0.022289773,0.028010672,11,24,False
7,0.022791341,0.03019074,10,28,False
8,0.027372602,0.03308221,18,32,True
9,0.030335538,0.032898504,9,36,True
10,0.04207529,0.03526925,20,40,True
11,0.053477425,0.037484314,19,44,True
12,0.07067468,0.041426074,21,48,True
13,0.07395917,0.042430535,4,52,True
14,0.07344571,0.041952875,25,56,True
15,0.057217646,0.039854478,6,60,True
16,0.051826067,0.039242648,3,64,True
17,0.030104304,0.034419842,8,68,True
18,0.023159288,0.03151748,24,72,True
19,0.024028877,0.031138474,26,76,True
20,0.023123644,0.031136703,7,80,True
21,0.021668045,0.030511346,5,84,True
22,0.02193132,0.029720452,27,88,True
23,0.022773283,0.029473504,23,92,True
24,0.023018122,0.029018853,2,96,True
25,0.022518195,0.028920788,29,100,False
26,0.022089237,0.028193539,22,104,False
27,0.02123113,0.028006714,28,108,False
28,0.021800706,0.026940653,30,112,False
29,0.021061402,0.026139056,31,116,False
30,0.020975905,0.025808921,32,120,False
31,0.020975905,0.025808921,1,124,False
