slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.013042213,0.031874437,32,0,False
1,0.01787091,0.03163618,27,4,False
2,0.021475881,0.03141674,31,8,False
3,0.022496773,0.031397626,28,12,False
4,0.025401775,0.031385407,29,16,False
5,0.025270836,0.031462174,30,20,False
6,0.028064772,0.03144504,26,24,False
7,0.028144402,0.031410806,25,28,False
8,0.029017767,0.03126082,22,32,True
9,0.029854294,0.031208277,23,36,True
10,0.026838059,0.031243943,24,40,True
11,0.026030652,0.03127061,21,44,True
12,0.026296183,0.03117982,10,48,True
13,0.025615953,0.031123275,9,52,True
14,0.022982959,0.03118899,8,56,True
15,0.022530843,0.031226829,20,60,True
16,0.024425792,0.031339716,7,64,True
17,0.024692118,0.03144186,11,68,True
18,0.024486193,0.0313599,13,72,True
19,0.028088361,0.031388737,12,76,False
20,0.031160068,0.031305462,14,80,False
21,0.036373165,0.031249467,5,84,False
22,0.032529723,0.031224674,6,88,False
23,0.031801865,0.031224316,18,92,False
24,0.03717114,0.031087207,19,96,False
25,0.04360305,0.030987244,17,100,False
26,0.04980794,0.030841535,15,104,False
27,0.04771787,0.030829819,16,108,False
28,0.046675686,0.030975481,4,112,False
29,0.045283806,0.031051468,3,116,False
30,0.049598176,0.030999795,2,120,False
31,0.055650745,0.03096233,1,124,False
