slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031126717,0.027647363,23,0,False
1,0.03168543,0.027891569,4,4,False
2,0.03172374,0.02857733,11,8,False
3,0.0326832,0.029104061,9,12,False
4,0.03216968,0.029233227,7,16,False
5,0.031807568,0.029400427,16,20,False
6,0.03234275,0.029578496,5,24,False
7,0.030410321,0.031061595,24,28,False
8,0.032377634,0.031381417,6,32,False
9,0.03086739,0.031483855,3,36,False
10,0.032404236,0.03142628,13,40,False
11,0.031335678,0.031660646,2,44,False
12,0.031692218,0.032408,15,48,False
13,0.031147882,0.033015333,17,52,False
14,0.031676553,0.03313779,20,56,False
15,0.032252647,0.03320819,12,60,False
16,0.03155834,0.032997806,21,64,False
17,0.02771545,0.03359245,14,68,False
18,0.030452035,0.03336332,26,72,False
19,0.031485792,0.032277845,31,76,False
20,0.031292833,0.031772263,32,80,False
21,0.030601418,0.0319457,1,84,False
22,0.032975104,0.032813508,10,88,True
23,0.031899076,0.033501446,30,92,True
24,0.030732878,0.03336593,25,96,True
25,0.031135866,0.033290707,22,100,True
26,0.030305654,0.032919537,19,104,True
27,0.029160226,0.032043647,8,108,True
28,0.029876119,0.031087715,27,112,True
29,0.030852161,0.029517801,29,116,True
30,0.031126717,0.027647363,28,120,True
31,0.031126717,0.027647363,18,124,True
