slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.050992876,0.030945448,32,0,False
1,0.052283585,0.030945862,2,4,False
2,0.04681716,0.030925957,1,8,False
3,0.04958725,0.030806739,31,12,False
4,0.04945253,0.030778432,4,16,False
5,0.043905307,0.030843906,5,20,False
6,0.036399905,0.030913487,3,24,False
7,0.034157045,0.031041034,6,28,False
8,0.033253282,0.031093702,30,32,False
9,0.03616253,0.030997587,29,36,False
10,0.035983726,0.030948827,7,40,False
11,0.032028694,0.03095734,10,44,False
12,0.02888492,0.031078687,11,48,False
13,0.02861506,0.031112876,8,52,False
14,0.027801227,0.031183906,9,56,False
15,0.022670023,0.03133033,12,60,False
16,0.018881086,0.03153015,13,64,False
17,0.015737481,0.031680707,14,68,True
18,0.01268456,0.031838544,28,72,True
19,0.011593217,0.031877726,15,76,True
20,0.012978892,0.031817757,16,80,True
21,0.01416586,0.031762104,27,84,True
22,0.01573463,0.031724397,17,88,True
23,0.015754314,0.031623404,26,92,True
24,0.0140010165,0.03153198,24,96,True
25,0.01704434,0.031517766,18,100,True
26,0.020362103,0.031440157,23,104,True
27,0.027811477,0.031233208,22,108,True
28,0.036911804,0.031207075,25,112,True
29,0.040133387,0.03118784,21,116,True
30,0.049715467,0.031153845,19,120,False
31,0.06749521,0.030969273,20,124,False
