slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031033607,0.027205693,11,0,False
1,0.03210108,0.028497804,23,4,False
2,0.03185059,0.029003384,17,8,False
3,0.03131619,0.029668406,28,12,False
4,0.031203844,0.029615983,2,16,False
5,0.030508824,0.02962975,22,20,False
6,0.031301465,0.030408494,19,24,False
7,0.030299364,0.031670984,30,28,False
8,0.031757206,0.032989334,3,32,True
9,0.031268075,0.033722013,9,36,True
10,0.033135366,0.033650603,25,40,True
11,0.030107237,0.033679567,18,44,True
12,0.028324336,0.034687944,4,48,True
13,0.03070227,0.034334455,7,52,True
14,0.030810356,0.03301011,10,56,True
15,0.030964335,0.032847527,5,60,True
16,0.03281469,0.03280197,21,64,True
17,0.031530175,0.033219393,1,68,True
18,0.03188484,0.03295712,32,72,True
19,0.030306373,0.03255085,31,76,False
20,0.03115527,0.031870287,16,80,False
21,0.031932857,0.03193067,29,84,False
22,0.03301646,0.032098603,26,88,False
23,0.030445289,0.031450775,15,92,False
24,0.031626195,0.031347927,14,96,False
25,0.03086178,0.030941991,6,100,False
26,0.030311301,0.030708345,24,104,False
27,0.032617953,0.030301198,27,108,False
28,0.030886985,0.030269466,20,112,False
29,0.031858444,0.028517973,8,116,False
30,0.031033607,0.027205693,12,120,False
31,0.031033607,0.027205693,13,124,False
