slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.031208266,0.028461782,11,0,False
1,0.031294726,0.029791214,12,4,False
2,0.031798046,0.029356379,10,8,False
3,0.03185513,0.028919768,13,12,False
4,0.03223577,0.028719012,28,16,False
5,0.031466953,0.030486176,5,20,False
6,0.031421486,0.03131756,9,24,False
7,0.031432096,0.031663105,27,28,False
8,0.032085482,0.031077027,24,32,False
9,0.03273117,0.030823164,4,36,False
10,0.03437063,0.031189136,3,40,False
11,0.033944473,0.031327154,25,44,False
12,0.032314092,0.031546846,26,48,False
13,0.030805584,0.031711325,6,52,False
14,0.030838728,0.032781046,8,56,False
15,0.031082287,0.034196526,7,60,True
16,0.02843072,0.035145584,2,64,True
17,0.028400198,0.035018522,1,68,True
18,0.028720494,0.03462307,22,72,True
19,0.029460356,0.034370836,16,76,True
20,0.029050896,0.033978667,32,80,True
21,0.031131875,0.033336382,23,84,True
22,0.031059608,0.03265306,31,88,True
23,0.031855848,0.032062624,15,92,True
24,0.031793464,0.031809513,14,96,True
25,0.031584345,0.0310003,30,100,True
26,0.03199748,0.030559573,29,104,True
27,0.032306015,0.029927375,20,108,True
28,0.030529138,0.029632837,21,112,True
29,0.030787708,0.028867362,19,116,True
30,0.030942552,0.02684593,17,120,True
31,0.031064415,0.026801184,18,124,True
