slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.050679214,0.030819843,32,0,False
1,0.05047292,0.030818297,31,4,False
2,0.035624653,0.030859517,1,8,False
3,0.03076581,0.030899806,2,12,False
4,0.02691196,0.031009298,30,16,False
5,0.01708132,0.03158985,29,20,False
6,0.016516862,0.03160001,28,24,False
7,0.019586015,0.03156344,27,28,False
8,0.022731034,0.031449527,3,32,False
9,0.027554592,0.03132405,26,36,False
10,0.030598657,0.03127068,12,40,False
11,0.030775478,0.03127803,4,44,True
12,0.028958678,0.031299703,11,48,True
13,0.024602536,0.031384174,13,52,True
14,0.022733847,0.031388607,10,56,True
15,0.023044037,0.031414602,5,60,True
16,0.024915706,0.031416718,17,64,True
17,0.024433939,0.031432226,14,68,True
18,0.022504346,0.031477265,18,72,True
19,0.021378536,0.03149326,25,76,True
20,0.019066287,0.031543177,16,80,True
21,0.017172288,0.031590965,15,84,True
22,0.015643414,0.031599846,9,88,True
23,0.018696042,0.031518992,19,92,True
24,0.023858953,0.03141282,20,96,True
25,0.0321863,0.031178555,8,100,True
26,0.038455777,0.031025233,21,104,False
27,0.042864896,0.031068368,24,108,False
28,0.045477647,0.030982316,22,112,False
29,0.047136616,0.030924926,6,116,False
30,0.06421946,0.030766038,7,120,False
31,0.08335213,0.030599864,23,124,False
