slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.0055255275,0.03183104,32,0,False
1,0.0052912156,0.031716537,31,4,False
2,0.005334887,0.03180729,30,8,False
3,0.0052436492,0.03183018,28,12,False
4,0.0043950933,0.031751096,29,16,False
5,0.0036546,0.031744633,27,20,False
6,0.0032182352,0.031685043,26,24,False
7,0.0059687933,0.031578112,25,28,False
8,0.008491225,0.03173033,24,32,True
9,0.009467047,0.03176625,20,36,True
10,0.010327643,0.03171454,21,40,True
11,0.010180253,0.031733688,19,44,True
12,0.010453467,0.03169094,23,48,True
13,0.011550554,0.031586375,22,52,True
14,0.013904301,0.031496286,18,56,True
15,0.015850434,0.03144409,17,60,True
16,0.021837061,0.03127663,16,64,True
17,0.026615739,0.031045016,15,68,True
18,0.027649287,0.03098515,14,72,True
19,0.033365835,0.030796334,13,76,True
20,0.030608024,0.030793304,11,80,True
21,0.026787851,0.030891022,12,84,True
22,0.027505388,0.031014249,10,88,True
23,0.040323216,0.030966114,9,92,True
24,0.049938563,0.030874064,8,96,True
25,0.060093928,0.030912068,1,100,False
26,0.067406885,0.030733006,3,104,False
27,0.07580291,0.030741265,2,108,False
28,0.07470352,0.030669738,4,112,False
29,0.08213405,0.030553268,5,116,False
30,0.09519979,0.030339604,6,120,False
31,0.13117102,0.030302713,7,124,False
