slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.019320358,0.03146823,32,0,False
1,0.021042649,0.031330816,31,4,False
2,0.023490157,0.031355165,10,8,False
3,0.026879292,0.03134352,11,12,False
4,0.027405037,0.031146104,12,16,False
5,0.02279473,0.031164335,13,20,False
6,0.021028606,0.031199945,30,24,False
7,0.027990842,0.031225929,9,28,False
8,0.035807725,0.031225257,15,32,False
9,0.041412484,0.031049473,16,36,True
10,0.040311385,0.030965554,14,40,True
11,0.038905077,0.031172518,29,44,True
12,0.036838684,0.03134357,28,48,True
13,0.03445734,0.03138466,26,52,True
14,0.035767406,0.03133218,17,56,True
15,0.034470815,0.03134992,27,60,True
16,0.030463122,0.03136017,20,64,True
17,0.027608572,0.031407434,24,68,True
18,0.027204113,0.031454764,8,72,True
19,0.028695699,0.031422716,18,76,True
20,0.02536723,0.031412266,25,80,True
21,0.022116367,0.03142825,5,84,True
22,0.026225528,0.03133843,19,88,True
23,0.028674183,0.031318724,4,92,True
24,0.027511755,0.03142659,23,96,True
25,0.03159108,0.031275656,21,100,True
26,0.02923258,0.031322822,3,104,True
27,0.031857118,0.031197404,6,108,True
28,0.03285342,0.031121287,22,112,True
29,0.03679353,0.03101562,2,116,False
30,0.047805578,0.030819412,7,120,False
31,0.058077604,0.03062132,1,124,False
